venue_name,source,tier,url
Eleven Madison Park,michelin_star,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/eleven-madison-park
Jungsik,michelin_star,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik
Le Bernardin,michelin_star,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin
Per Se,michelin_star,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/per-se
Sushi Sho,michelin_star,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-sho
Aquavit,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit
Aska,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aska
Atera,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera
Atomix,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atomix
Blue Hill at Stone Barns,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/pocantico-hills/restaurant/blue-hill-at-stone-barns
César,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cesar
Chef's Table at Brooklyn Fare,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare
Gabriel Kreuther,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther
Jean-Georges,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges
Joo Ok,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/joo-ok
Masa,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/masa
odo,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/odo
Saga,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/saga
Sushi Noz,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-noz
The Modern,michelin_star,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern
Daniel,michelin_star,1,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel
Jua,michelin_star,1,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jua
Kochi,michelin_star,1,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kochi
Huso,michelin_star,1,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/huso
Yamada,michelin_star,1,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/yamada
Bridges,michelin_star,1,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bridges
Muku,michelin_star,1,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/muku
8282,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Agi's Counter,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Alley 41,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Alta Calidad,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Atla,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
